income,age,days_since_purchase
56432,31,492
137580,38,551
68285,59,304
93617,51,507
113441,54,509
100871,43,552
72481,33,402
34577,26,450
37387,30,463
37886,26,480
40948,43,309
87130,22,260
94347,18,269
49729,52,266
32592,44,599
37982,47,331
117941,30,312
40980,40,362
22428,59,332
77599,34,280
95905,28,386
30360,38,467
123577,57,510
100403,51,536
129073,37,290
41678,33,434
27705,43,295
84669,33,265
49936,31,445
29617,33,447
115563,55,430
115917,46,487
137878,54,500
86923,18,352
64226,38,407
124549,18,313
99866,43,501
103101,45,536
69367,36,518
94930,48,579
121244,52,482
116880,24,317
111533,26,294
35683,37,427
51406,28,516
40662,36,394
115509,32,243
110500,26,346
126147,56,546
110544,45,524
126559,42,501
26265,42,400
42528,47,290
116583,47,569
71619,33,431
50123,38,484
93597,51,543
54054,54,215
101085,30,371
58012,30,517
81387,48,298
135836,47,434
135204,48,501
10194,59,250
105898,27,303
129612,55,492
105352,36,174
60396,31,516
97062,28,273
54652,28,480
72436,57,338
107132,50,541
109587,45,494
139266,27,388
53567,34,491
28364,19,421
146667,58,596
92899,18,216
135225,34,336
109053,30,288
32586,47,294
38316,30,453
131059,46,463
33725,34,587
121028,47,556
41297,49,273
107980,60,499
109748,51,535
24996,34,479
56627,18,486
32142,53,276
34276,41,234
62527,50,364
112819,54,523
82153,51,470
26806,39,507
93676,36,316
101384,56,503
64421,25,486
54878,20,424
6763,23,508
36184,30,554
36400,54,282
37818,52,341
41888,27,501
20095,29,527
106640,48,376
61224,28,528
108637,55,441
123016,25,225
117596,55,521
43446,48,234
140949,34,296
87499,30,316
54666,60,287
38394,26,522
58275,35,482
141912,59,511
98509,57,485
106387,46,415
42537,27,490
68127,52,245
24062,48,225
105951,34,280
94346,50,482
28378,59,382
119284,50,564
97823,58,489
138687,31,286
61605,58,252
94714,24,379
100270,36,439
106908,47,481
131388,48,503
147331,45,428
39961,47,355
44019,43,360
40867,58,299
37845,45,368
42776,33,400
38471,28,479
13739,43,162
137463,48,453
55338,26,456
101933,28,300
42989,23,543
114155,53,532
102120,49,469
79444,26,338
148322,27,280
117530,34,296
47008,44,284
116808,50,536
38710,52,315
69015,26,459
94793,30,370
123255,26,298
99122,27,325
111433,26,291
100534,23,139
30775,51,286
17792,30,552
31833,51,258
138317,51,591
59038,44,352
114880,48,574
25710,52,302
115419,18,237
40411,58,304
124801,59,518
42217,52,298
77153,30,543
54726,47,281
138691,26,376
105932,56,479
108535,36,183
113275,36,342
42604,46,389
46536,46,273
63558,51,344
99871,38,528
108263,36,256
117152,42,520
61814,25,440
75126,30,382
127503,32,292
33472,21,570
116436,38,267
136262,44,504
168993,25,252
107058,39,265
137860,29,309
52939,52,387
145163,40,246
63372,48,340
130668,35,326
115524,39,441
24079,31,518
125591,35,563
70121,31,320
60586,55,315
101702,33,227
114749,48,540
85141,39,595
29132,52,360
3089,52,282
118064,42,488
128590,21,178
118870,45,586
137754,48,469
140874,27,348
59498,48,249
121966,51,474
141565,48,525
114426,59,487
64562,48,350
44491,54,268
112132,34,220
46293,52,268
94267,51,512
38612,46,366
105182,52,528
56423,32,398
140714,35,238
28384,48,364
111353,55,506
48097,44,373
107050,22,349
85713,54,500
49660,27,457
33026,45,294
53929,52,367
123186,31,334
122701,50,525
118799,32,366
55350,63,329
152190,28,340
146282,26,281
125792,28,293
124628,50,416
52903,53,391
117636,52,478
47007,28,538
46021,51,389
53327,47,458
101469,42,220
63485,36,405
41409,26,512
84795,60,332
92549,32,320
51530,57,304
78879,33,300
124957,48,384
