income,age,days_since_purchase,annual_spend
37453,48,504,4441
50775,50,566,4239
71047,41,326,5834
52239,52,259,5456
112343,27,279,1749
127977,30,322,1653
24629,54,326,5264
20115,28,448,1708
54374,53,287,6145
119465,34,282,2841
64485,51,261,5334
37669,53,527,5672
69238,52,380,5472
26501,24,445,2300
106059,35,282,3139
110985,29,257,1455
98489,47,577,5443
80948,30,258,1828
49295,36,485,2675
35130,23,526,2559
107262,52,497,5152
54273,48,312,5386
23734,57,548,5614
95174,41,348,1355
7965,36,518,2338
38770,41,278,4705
102851,46,472,6090
83318,36,212,3186
67520,24,283,2265
63727,58,506,4867
56432,49,521,6829
131225,31,372,2993
18619,46,515,5362
7307,45,440,5530
40766,45,496,4579
32781,37,422,2469
81431,50,565,5023
75264,42,454,4270
102345,25,277,4696
41323,48,530,6230
146252,50,496,5804
38989,48,259,6439
23750,25,517,2169
36907,52,448,4541
23413,34,556,2852
66695,59,528,5497
41355,47,254,7236
65242,50,394,4771
13462,45,461,6387
31107,52,550,4579
21749,53,471,6751
128898,45,490,5659
35034,51,250,4776
115336,30,309,1985
118740,49,528,4822
37340,44,442,5106
79207,46,248,6223
40767,32,456,3300
96759,43,463,6147
103749,20,371,1629
59832,46,500,5175
34895,52,526,5155
53896,56,445,6684
50390,40,560,6761
44425,47,263,6015
0,49,298,4895
114536,47,537,5790
45137,31,510,1505
58650,20,547,3564
45417,34,509,3818
49543,41,372,5599
51580,40,444,6953
108102,51,501,4236
29983,58,456,6007
70883,45,248,6612
24979,54,314,5905
27603,53,466,4983
55314,30,480,2138
39110,44,450,4167
153301,46,463,5265
21517,38,401,3084
118126,46,436,6379
8849,44,511,3846
60155,44,503,5947
50289,40,437,2753
53077,27,590,3137
128409,22,254,3727
88560,33,197,2523
60881,48,505,5824
64763,28,515,2243
19236,41,310,4692
34086,55,439,6105
77178,57,542,4789
52986,24,459,2191
21033,47,385,4416
37676,53,512,5910
23279,52,449,6651
57188,40,316,5811
52634,51,259,5881
33671,50,228,5635
41509,28,567,2741
33611,30,516,2353
26192,41,207,6969
48371,55,529,6461
61419,48,481,5756
14807,21,519,2749
65069,33,473,2091
73105,30,425,2348
86139,29,272,2194
128966,23,184,2663
56757,40,341,6615
74493,51,530,5902
41698,51,271,5401
54334,25,455,3001
123841,29,317,4003
60113,35,533,3150
46489,34,478,1531
49755,48,400,5941
50447,32,498,3681
57892,54,268,5575
65849,40,538,2103
39261,49,308,5710
67772,34,462,3533
54365,44,414,5354
55840,28,615,1422
114768,27,269,2397
62679,27,469,3001
130361,28,331,4447
79048,45,499,5663
108530,47,526,5991
38824,42,507,6552
87104,51,607,4846
37194,39,427,5423
126733,54,459,5682
144604,57,559,4776
60045,25,535,3709
116700,51,468,5221
45349,49,326,4875
52559,56,289,5811
30728,26,560,1553
37582,27,456,1078
119566,33,354,1010
143353,27,277,3578
42070,51,546,4073
114200,54,557,4958
42672,25,530,3031
108458,51,524,3896
140860,44,489,4854
47218,51,294,4888
67360,43,594,5424
130537,30,258,1948
19856,43,519,6024
54027,18,513,3425
111097,33,286,1906
84631,39,358,2046
43393,52,273,5378
22316,38,458,2797
107470,31,220,1778
88286,49,408,5585
14282,43,263,4630
124242,49,549,5278
70639,51,251,5989
101869,36,244,2294
60697,29,556,1901
98452,29,270,3206
43612,56,297,4340
46708,45,249,4155
60522,25,514,2445
29311,38,505,1908
37636,36,489,1759
39608,59,499,5321
111270,35,514,4685
51298,46,360,5455
93985,24,297,2818
32493,51,497,6675
128935,48,559,5600
28542,60,511,5910
36370,47,274,5042
50993,49,422,6317
40009,28,377,2389
0,44,545,5339
6153,62,478,5507
42983,30,528,1910
135635,51,579,5852
114215,35,297,2437
96968,49,469,5452
93018,52,483,6053
48448,58,305,5046
129798,47,435,6520
104171,24,357,2118
116697,61,556,5557
34411,53,568,4532
149469,29,336,2772
18063,47,578,5128
98760,28,315,2146
35080,46,486,5733
56122,46,474,5643
42121,26,521,2689
42641,53,384,4459
37046,44,270,6606
42435,47,306,6324
61991,26,557,2822
111583,53,516,5319
122826,33,405,1243
137916,41,582,5745
97218,25,318,2701
44620,28,629,1724
44131,34,321,3202
51272,45,459,6170
5412,55,259,5002
43186,52,327,6297
93335,44,370,7384
116324,29,203,2186
39631,28,507,3285
64308,49,305,5473
112634,53,495,5312
34025,21,506,3011
35148,51,265,4519
68402,53,450,3654
30517,42,318,4673
137204,52,452,5463
110073,61,535,5665
101768,32,252,2060
39553,36,520,2350
32879,46,366,6053
108014,33,269,3846
65200,48,244,5120
35590,22,534,2531
168,23,527,2928
131314,26,330,2037
60780,35,551,1908
115886,47,551,6667
18754,30,473,2506
92934,27,337,4171
38210,54,355,7072
39410,47,536,6234
99149,33,337,3386
113361,23,205,2409
40999,31,499,2513
105438,57,556,5651
72302,49,413,5410
131965,53,636,5731
91156,41,576,4545
50738,37,493,6226
116972,48,459,6613
62210,52,284,5083
43565,48,298,5122
129006,24,359,3173
111420,48,436,5384
33614,45,515,5522
126728,26,272,2906
38389,48,360,4895
39019,28,493,970
47896,47,525,4674
95416,54,483,5833
41393,46,575,5035
48287,57,333,6296
52158,58,458,6070
54795,49,467,4247
46664,30,502,2104
61406,44,527,6038
44303,46,363,6303
26321,47,420,5090
132859,50,551,6553
55616,38,327,5361
45312,39,497,6327
130043,28,306,2583
128631,32,298,1584
41602,24,457,2743
95460,46,461,5681
32278,49,376,6572
88070,44,521,4059
121706,49,483,6599
36625,49,542,6565
103026,43,452,4581
125911,43,560,6070
171935,31,412,3822
56429,48,546,5532
112029,28,358,2438
102085,51,512,4883
114675,36,271,2835
4617,59,553,5670
39555,54,511,5253
