Campaign Data
views,likes
90006,402
101141,389
97297,403
117182,397
99637,404
91911,381
96364,392
86534,402
112479,410
91560,406
91975,382
98388,398
98681,391
108273,406
106445,418
98049,396
108137,398
108237,406
81908,396
105802,387
117977,378
100057,391
121085,384
82973,390
107846,408
83364,400
103927,401
96912,415
102334,397
76336,422
104448,394
120417,387
105945,411
76507,393
97805,398
107379,387
97421,387
109455,382
103847,385
85579,400
74319,399
98232,391
89128,387
104017,379
99559,409
106740,389
121827,387
102289,398
88712,399
121613,384
114892,381
92534,390
102626,408
93889,393
89202,392
94434,403
90183,402
98116,401
89749,401
107064,405
114946,378
105417,406
91817,391
99907,389
98054,398
92330,388
111671,403
98758,409
101461,401
93911,401
97973,403
79415,397
106552,409
92537,403
98654,396
104232,405
101558,382
99269,404
100593,379
116763,411
103357,410
82227,401
85411,400
88255,402
77712,406
101657,387
90763,407
105848,392
92325,416
101853,387
107092,411
101568,396
111597,386
87925,393
111380,415
100464,391
96382,387
94971,389
103070,410
110387,411
