CustomerID,2010 revenue,days_since_first_purchase,days_since_last_purchase,number_of_purchases,avg_order_cost,2011 revenue
12347.0,711.79,23.0,23.0,1.0,711.79,3598.2100000000005
12348.0,892.8,14.0,14.0,1.0,892.8,904.4399999999999
12370.0,1868.02,16.0,13.0,2.0,934.01,1677.67
12377.0,1001.5200000000002,10.0,10.0,1.0,1001.5200000000002,626.5999999999999
12383.0,600.72,8.0,8.0,1.0,600.72,1249.84
12386.0,258.9,22.0,22.0,1.0,258.9,143.0
12395.0,679.9199999999998,27.0,13.0,2.0,339.9599999999999,2338.71
12417.0,291.34,13.0,13.0,1.0,291.34,3357.7599999999998
12423.0,237.93000000000004,9.0,9.0,1.0,237.93000000000004,1621.38
12427.0,303.5,27.0,27.0,1.0,303.5,522.3
12429.0,1281.5000000000002,21.0,21.0,1.0,1281.5000000000002,2468.9
12431.0,773.95,29.0,13.0,2.0,386.975,5713.5
12472.0,1631.3000000000009,25.0,25.0,1.0,1631.3000000000009,4940.8099999999995
12476.0,12.45,17.0,17.0,1.0,12.45,6803.9699999999975
12481.0,791.3399999999999,21.0,10.0,2.0,395.66999999999996,4804.9800000000005
12494.0,62.55,21.0,14.0,2.0,31.275,1183.55
12540.0,881.0099999999998,17.0,17.0,1.0,881.0099999999998,12519.229999999998
12557.0,620.0,27.0,27.0,1.0,620.0,11370.96
12567.0,1942.38,25.0,23.0,2.0,971.19,7458.900000000001
12577.0,195.89000000000001,15.0,15.0,1.0,195.89000000000001,461.91000000000014
12583.0,855.8599999999999,29.0,29.0,1.0,855.8599999999999,6425.52
12585.0,1262.8500000000001,7.0,7.0,1.0,1262.8500000000001,777.25
12600.0,274.8,27.0,13.0,2.0,137.4,2324.2400000000002
12621.0,1383.65,21.0,13.0,2.0,691.825,12306.02
12647.0,1193.6,25.0,13.0,3.0,397.8666666666666,2529.22
12662.0,261.48,29.0,29.0,1.0,261.48,3588.3
12668.0,469.86999999999995,11.0,11.0,1.0,469.86999999999995,3337.2800000000007
12678.0,221.28,9.0,9.0,1.0,221.28,17407.179999999997
12681.0,2118.1099999999997,23.0,10.0,2.0,1059.0549999999998,11669.43
12682.0,1075.29,27.0,21.0,2.0,537.645,11212.93
12683.0,1063.0800000000002,21.0,21.0,1.0,1063.0800000000002,7413.490000000002
12691.0,180.00000000000003,13.0,13.0,1.0,180.00000000000003,855.8000000000001
12705.0,858.0,13.0,13.0,1.0,858.0,6010.289999999999
12708.0,196.44,24.0,24.0,1.0,196.44,2516.47
12709.0,1315.69,22.0,13.0,2.0,657.845,8420.83
12712.0,470.63,27.0,21.0,2.0,235.315,3925.5000000000005
12720.0,657.13,25.0,13.0,2.0,328.565,5124.6
12721.0,286.59999999999997,10.0,10.0,1.0,286.59999999999997,2369.5299999999997
12726.0,170.28000000000003,13.0,13.0,1.0,170.28000000000003,2438.8199999999997
12731.0,1071.9,20.0,20.0,1.0,1071.9,17824.01
12747.0,706.27,25.0,17.0,2.0,353.135,3489.7399999999993
12763.0,320.08,25.0,25.0,1.0,320.08,174.0
12766.0,1149.2900000000002,22.0,22.0,1.0,1149.2900000000002,5840.340000000001
12779.0,248.16,27.0,27.0,1.0,248.16,3733.2000000000003
12782.0,463.5,13.0,13.0,1.0,463.5,1867.42
12793.0,131.8,27.0,27.0,1.0,131.8,413.68
12808.0,129.4,24.0,24.0,1.0,129.4,354.25
12826.0,155.0,21.0,21.0,1.0,155.0,1319.7199999999998
12829.0,85.75,16.0,16.0,1.0,85.75,207.25
12838.0,390.7900000000002,29.0,29.0,1.0,390.7900000000002,292.3399999999998
12839.0,737.45,23.0,13.0,2.0,368.725,4853.969999999999
12841.0,505.99,27.0,25.0,2.0,252.995,3516.3600000000006
12867.0,362.78999999999996,16.0,16.0,1.0,362.78999999999996,3674.0300000000007
12868.0,203.3,29.0,29.0,1.0,203.3,1403.76
12872.0,378.5299999999999,21.0,21.0,1.0,378.5299999999999,221.44000000000003
12875.0,293.76000000000005,18.0,18.0,1.0,293.76000000000005,49.470000000000006
12877.0,150.06000000000003,14.0,14.0,1.0,150.06000000000003,1385.7099999999998
12913.0,417.62,24.0,24.0,1.0,417.62,2066.01
12915.0,199.65,28.0,28.0,1.0,199.65,164.0
12921.0,687.8,29.0,22.0,2.0,343.9,15899.290000000003
12928.0,392.34,15.0,15.0,1.0,392.34,1670.3600000000001
12931.0,177.0,13.0,13.0,1.0,177.0,41878.96
12942.0,258.75000000000006,21.0,21.0,1.0,258.75000000000006,425.15000000000003
12944.0,286.95,10.0,10.0,1.0,286.95,317.56000000000006
12947.0,304.03999999999996,29.0,29.0,1.0,304.03999999999996,1299.9499999999998
12963.0,365.80000000000007,21.0,21.0,1.0,365.80000000000007,1490.8300000000002
12971.0,436.19000000000005,28.0,9.0,5.0,87.23800000000001,10753.719999999996
12980.0,889.32,14.0,14.0,1.0,889.32,6485.58
12989.0,202.5,20.0,20.0,1.0,202.5,6721.609999999999
13000.0,201.75000000000003,20.0,20.0,1.0,201.75000000000003,333.09999999999997
13004.0,357.01,13.0,13.0,1.0,357.01,5298.9
13013.0,1528.3400000000001,27.0,27.0,1.0,1528.3400000000001,3282.6
13021.0,157.35000000000002,14.0,14.0,1.0,157.35000000000002,2459.03
13027.0,1440.0,10.0,10.0,1.0,1440.0,5472.0
13029.0,382.5,9.0,9.0,1.0,382.5,865.0
13030.0,427.73999999999995,24.0,24.0,1.0,427.73999999999995,371.74
13034.0,165.86,25.0,25.0,1.0,165.86,476.90999999999997
13047.0,366.63,29.0,29.0,1.0,366.63,2870.91
13050.0,1199.8700000000001,22.0,10.0,4.0,299.96750000000003,4636.99
13069.0,644.12,25.0,17.0,2.0,322.06,3792.0
13077.0,313.71999999999997,22.0,22.0,1.0,313.71999999999997,415.54999999999995
13078.0,881.16,22.0,15.0,2.0,440.58,11746.779999999999
13081.0,2366.7799999999993,27.0,27.0,1.0,2366.7799999999993,25970.599999999995
13090.0,1008.4,28.0,21.0,2.0,504.2,7902.42
13092.0,185.45,15.0,15.0,1.0,185.45,292.38
13094.0,223.68,24.0,24.0,1.0,223.68,1703.64
13097.0,304.90000000000003,16.0,16.0,1.0,304.90000000000003,5705.5199999999995
13102.0,673.9200000000001,21.0,16.0,2.0,336.96000000000004,5750.170000000001
13104.0,101.76,10.0,10.0,1.0,101.76,996.72
13113.0,372.96999999999997,22.0,22.0,1.0,372.96999999999997,11872.989999999998
13117.0,388.15,28.0,21.0,2.0,194.075,596.76
13124.0,1256.3200000000004,15.0,15.0,1.0,1256.3200000000004,2610.01
13126.0,223.44,22.0,22.0,1.0,223.44,1876.2
13138.0,193.23000000000002,28.0,28.0,1.0,193.23000000000002,769.1600000000001
13140.0,159.51,22.0,22.0,1.0,159.51,264.21000000000004
13145.0,295.0,28.0,28.0,1.0,295.0,323.52000000000004
13148.0,309.4,20.0,20.0,1.0,309.4,3397.7199999999993
13155.0,379.69999999999993,24.0,24.0,1.0,379.69999999999993,592.0600000000001
13165.0,354.64,7.0,7.0,1.0,354.64,666.84
13173.0,165.94000000000003,23.0,23.0,1.0,165.94000000000003,187.71
13174.0,1415.9700000000003,25.0,25.0,1.0,1415.9700000000003,1401.06
13178.0,709.9999999999999,16.0,16.0,1.0,709.9999999999999,5015.470000000001
13198.0,384.54999999999995,17.0,17.0,1.0,384.54999999999995,3016.69
13199.0,711.8,22.0,14.0,2.0,355.9,9105.32
13209.0,318.84999999999997,17.0,17.0,1.0,318.84999999999997,5572.76
13211.0,110.7,17.0,17.0,1.0,110.7,1086.72
13221.0,498.15999999999997,15.0,15.0,1.0,498.15999999999997,349.25
13225.0,1206.72,17.0,17.0,1.0,1206.72,5257.120000000001
13230.0,93.45,21.0,21.0,1.0,93.45,2713.5200000000004
13238.0,91.15,16.0,16.0,1.0,91.15,609.58
13240.0,224.07,21.0,21.0,1.0,224.07,439.5799999999999
13255.0,225.70000000000002,29.0,29.0,1.0,225.70000000000002,173.81
13267.0,622.3000000000001,22.0,16.0,2.0,311.15000000000003,3899.1900000000005
13269.0,662.17,25.0,17.0,2.0,331.085,4684.0599999999995
13305.0,136.2,28.0,28.0,1.0,136.2,1864.66
13317.0,238.05,14.0,14.0,1.0,238.05,2035.63
13319.0,1551.0800000000004,21.0,10.0,2.0,775.5400000000002,9294.47
13324.0,650.1,16.0,16.0,1.0,650.1,6471.849999999999
13327.0,745.0,21.0,21.0,1.0,745.0,2882.77
13329.0,304.19999999999993,22.0,22.0,1.0,304.19999999999993,484.79999999999995
13402.0,308.28,28.0,28.0,1.0,308.28,312.94999999999993
13408.0,3031.2,29.0,14.0,4.0,757.8,25085.83999999999
13418.0,1579.6200000000001,28.0,15.0,3.0,526.5400000000001,4547.8099999999995
13426.0,336.98,15.0,15.0,1.0,336.98,3304.34
