spend,age
2725.0,20.0
3010.0,38.0
2782.0,25.0
2809.0,31.0
2774.0,54.0
2981.0,44.0
2821.0,33.0
2994.0,45.0
2805.0,43.0
2742.0,42.0
2658.0,20.0
2936.0,41.0
3104.0,44.0
2881.0,51.0
3021.0,42.0
2998.0,34.0
3071.0,39.0
2704.0,56.0
3021.0,43.0
2995.0,39.0
3034.0,35.0
2883.0,33.0
2706.0,57.0
2892.0,43.0
3045.0,43.0
3041.0,34.0
2876.0,53.0
2944.0,43.0
3030.0,35.0
2844.0,31.0
2871.0,47.0
3001.0,45.0
3167.0,36.0
2979.0,54.0
2948.0,48.0
2972.0,44.0
2941.0,37.0
2681.0,56.0
2616.0,59.0
2915.0,45.0
2831.0,50.0
2772.0,22.0
2851.0,48.0
2853.0,47.0
2950.0,37.0
2857.0,36.0
2803.0,46.0
2945.0,32.0
2806.0,33.0
2942.0,35.0
2767.0,27.0
3128.0,38.0
2893.0,34.0
2948.0,35.0
3044.0,45.0
3053.0,45.0
2975.0,42.0
3083.0,48.0
2683.0,54.0
2998.0,38.0
3045.0,44.0
2723.0,30.0
3154.0,40.0
2913.0,41.0
2912.0,26.0
2803.0,48.0
2985.0,40.0
3076.0,41.0
3031.0,38.0
2745.0,47.0
2970.0,34.0
3144.0,33.0
2918.0,28.0
2949.0,28.0
2976.0,38.0
2616.0,54.0
2713.0,56.0
2721.0,49.0
2966.0,29.0
3004.0,34.0
2905.0,36.0
2937.0,32.0
3004.0,50.0
3041.0,33.0
2934.0,39.0
2825.0,47.0
3025.0,36.0
3161.0,37.0
3191.0,42.0
2724.0,26.0
2915.0,48.0
2898.0,24.0
2753.0,31.0
3048.0,34.0
3035.0,41.0
2713.0,55.0
3006.0,39.0
3067.0,33.0
3001.0,43.0
2960.0,41.0
2785.0,26.0
3043.0,34.0
3016.0,46.0
3041.0,46.0
2353.0,18.0
2991.0,39.0
2925.0,37.0
2711.0,29.0
2904.0,30.0
3066.0,43.0
2937.0,36.0
2915.0,49.0
2292.0,22.0
2882.0,23.0
2911.0,42.0
2818.0,52.0
2642.0,51.0
2750.0,54.0
2848.0,46.0
2935.0,40.0
3009.0,44.0
2957.0,50.0
3063.0,43.0
2833.0,26.0
3005.0,39.0
2845.0,34.0
2890.0,51.0
3063.0,41.0
3085.0,41.0
2966.0,42.0
3038.0,33.0
3115.0,41.0
2879.0,29.0
2386.0,26.0
2982.0,42.0
2931.0,50.0
2076.0,70.0
2977.0,43.0
3039.0,39.0
2980.0,45.0
2466.0,66.0
2903.0,48.0
3046.0,31.0
2863.0,34.0
2997.0,35.0
2954.0,50.0
3085.0,29.0
2934.0,42.0
2816.0,52.0
2927.0,51.0
2999.0,41.0
2905.0,50.0
2929.0,39.0
2938.0,47.0
3129.0,36.0
2799.0,38.0
3026.0,39.0
2841.0,39.0
3032.0,39.0
2998.0,46.0
2890.0,48.0
2703.0,22.0
3040.0,46.0
2918.0,30.0
2952.0,43.0
2706.0,50.0
3112.0,40.0
2937.0,41.0
2960.0,34.0
2487.0,61.0
2949.0,34.0
2937.0,39.0
2912.0,43.0
2864.0,33.0
2820.0,49.0
2756.0,57.0
3089.0,43.0
2906.0,25.0
2813.0,50.0
2937.0,25.0
2801.0,54.0
2737.0,51.0
2849.0,31.0
2572.0,23.0
2296.0,25.0
2918.0,49.0
2914.0,54.0
2957.0,43.0
2602.0,56.0
2964.0,34.0
2767.0,51.0
3021.0,50.0
3009.0,31.0
2444.0,19.0
2804.0,32.0
2808.0,57.0
2853.0,31.0
2886.0,47.0
2875.0,36.0
2923.0,31.0
2718.0,45.0
3039.0,38.0
3208.0,41.0
2991.0,41.0
2841.0,50.0
2876.0,37.0
2073.0,18.0
3116.0,46.0
2792.0,40.0
3119.0,37.0
2906.0,45.0
2683.0,59.0
2858.0,32.0
2929.0,27.0
2703.0,48.0
2973.0,36.0
3125.0,35.0
3046.0,39.0
2801.0,53.0
2969.0,43.0
2756.0,27.0
3166.0,41.0
2673.0,55.0
2828.0,45.0
3039.0,43.0
2922.0,35.0
2927.0,29.0
2763.0,53.0
2961.0,37.0
2690.0,19.0
3015.0,36.0
2995.0,43.0
2623.0,58.0
2886.0,29.0
2392.0,25.0
2749.0,56.0
2933.0,38.0
2922.0,48.0
3080.0,39.0
2936.0,36.0
2776.0,26.0
3078.0,45.0
2958.0,39.0
2913.0,40.0
3016.0,37.0
2802.0,54.0
3016.0,39.0
2938.0,36.0
2980.0,44.0
2668.0,27.0
3090.0,42.0
2836.0,32.0
2990.0,47.0
2984.0,34.0
2924.0,39.0
3010.0,45.0
2484.0,21.0
2615.0,55.0
2970.0,30.0
3029.0,47.0
2817.0,54.0
2236.0,22.0
2923.0,54.0
3048.0,48.0
3077.0,48.0
2827.0,45.0
2912.0,39.0
3040.0,44.0
3048.0,42.0
2691.0,27.0
2797.0,55.0
2887.0,39.0
2807.0,50.0
3141.0,39.0
2935.0,40.0
2809.0,51.0
2903.0,52.0
2985.0,37.0
2968.0,33.0
2961.0,39.0
2870.0,54.0
3153.0,37.0
2986.0,41.0
2974.0,52.0
3050.0,44.0
2738.0,55.0
3148.0,39.0
3108.0,44.0
3080.0,41.0
2211.0,23.0
2936.0,51.0
2984.0,38.0
2936.0,45.0
2896.0,46.0
2639.0,23.0
3048.0,33.0
3042.0,33.0
3043.0,40.0
2893.0,46.0
2976.0,34.0
2973.0,46.0
2891.0,51.0
2946.0,39.0
2972.0,48.0
2434.0,62.0
2908.0,33.0
3144.0,36.0
2916.0,31.0
3099.0,33.0
2794.0,30.0
3046.0,54.0
2678.0,58.0
3063.0,38.0
3043.0,36.0
2650.0,59.0
2963.0,48.0
2496.0,18.0
2141.0,68.0
2898.0,49.0
2927.0,52.0
2857.0,25.0
3086.0,41.0
2897.0,32.0
2720.0,26.0
2703.0,53.0
3056.0,42.0
3153.0,29.0
2844.0,38.0
3068.0,43.0
2911.0,42.0
3048.0,37.0
2830.0,27.0
2742.0,30.0
3104.0,40.0
3017.0,53.0
2804.0,56.0
2553.0,22.0
2956.0,41.0
2910.0,53.0
2943.0,37.0
2810.0,33.0
2884.0,33.0
3031.0,49.0
3201.0,46.0
2634.0,61.0
2791.0,29.0
2919.0,47.0
2854.0,42.0
2881.0,50.0
2970.0,51.0
2770.0,32.0
3071.0,37.0
2774.0,44.0
2913.0,31.0
3108.0,44.0
2811.0,34.0
2833.0,34.0
2995.0,38.0
2794.0,50.0
2997.0,36.0
3051.0,45.0
3084.0,42.0
2690.0,62.0
2868.0,46.0
2692.0,53.0
2934.0,35.0
3034.0,35.0
2967.0,38.0
2753.0,56.0
3102.0,42.0
2967.0,37.0
2875.0,40.0
2765.0,23.0
2746.0,30.0
2883.0,41.0
3038.0,37.0
3179.0,34.0
3065.0,49.0
3063.0,35.0
2821.0,54.0
2973.0,49.0
2965.0,42.0
2481.0,25.0
2866.0,46.0
3138.0,35.0
2792.0,23.0
2683.0,52.0
2910.0,41.0
2936.0,35.0
2878.0,46.0
2734.0,26.0
3002.0,42.0
2932.0,47.0
