cur_year_spend,prev_year_spend,days_since_last_purchase,days_since_first_purchase,total_transactions,age,income,engagement_score
5536.46,1681.26,7,61,34,61,97914.93,-0.6523924604734918
871.41,1366.74,12,34,33,68,30904.69,0.007327054913100258
2046.74,1419.38,10,81,22,54,48194.59,0.22166556032075296
4662.7,1561.21,12,32,34,49,93551.98,1.1496410535189152
3539.46,1397.6,17,72,34,66,66267.57,0.8358342191101421
4205.31,2208.59,15,4,57,48,65537.66,-0.9295769878904186
2686.17,1125.58,6,51,25,63,69030.77,-0.8131737534760459
4684.56,2527.5,6,83,41,62,60083.05,-1.0774895225468846
4841.11,2236.1,8,65,34,68,75967.66,0.01037405189490501
4884.49,1985.57,24,83,33,80,78613.73,0.01722260825810617
2380.65,2113.33,20,8,25,34,60139.42,0.16085249281757624
4763.38,1963.41,23,39,21,76,98351.04,-0.2557393367224165
2607.42,3000.11,16,42,25,52,43724.53,1.2458734531813085
4103.96,1051.09,8,92,22,54,83262.35,-1.3185754001289556
2618.97,785.0,15,50,30,74,67782.58,-0.8326746030250404
5052.88,2349.88,13,30,33,64,89852.78,-0.6406883434350038
4953.94,1150.01,13,84,33,59,92790.97,0.6503892836704009
1583.86,2068.36,12,52,40,58,23948.79,-1.4316995827676318
4127.63,2077.76,20,18,30,54,82749.3,-2.7041663768894595
4357.67,1563.86,15,87,43,52,66698.33,-0.25584934939211645
4503.02,2416.44,10,58,34,60,71472.82,0.4231175263829432
1517.11,1711.04,10,30,37,59,34583.32,1.2266543428682517
1924.32,1437.35,11,41,36,51,43847.42,0.29418620071743634
2266.42,1351.23,22,81,30,66,46456.65,1.6588422241195393
3563.07,1841.55,4,52,35,66,64808.97,1.1246125478797395
1368.29,1992.22,12,36,30,65,33405.83,-1.3397766559405735
3008.64,2227.94,10,44,51,67,38422.35,1.115303875102296
5285.41,1739.38,12,46,55,45,79868.36,-0.29638744906240205
2546.8,789.72,11,41,33,60,67925.36,0.3160585812098716
2522.2,1309.72,6,35,14,53,75828.62,-0.32975827175046685
4468.92,989.99,11,47,43,54,86389.94,0.6390951103242559
1799.78,1266.49,17,27,32,68,52590.52,-1.8804061272347632
1796.47,1743.11,3,26,44,53,37044.75,-1.5089890353032596
2469.04,2274.24,16,41,12,68,61589.47,0.11021382411186703
3005.48,2195.2,25,23,33,56,59120.36,-0.5283959793831827
2711.08,1776.58,13,86,25,77,52144.46,-0.6309084019548629
4304.77,1779.95,7,57,55,75,61079.48,1.3871790030730218
4678.4,1500.66,7,62,46,78,78032.81,-0.1825337316188212
