revenue,num_competitors,median_income,num_loyalty_members,population_density,location_age
42247.8,3.0,30527.57,1407.0,3302.0,12.0
38628.37,3.0,30185.49,1025.0,4422.0,11.0
39715.16,1.0,32182.24,1498.0,3260.0,12.0
35593.3,5.0,29728.65,2340.0,4325.0,10.0
35128.18,4.0,30691.17,847.0,3774.0,11.0
36310.72,2.0,31608.0,2187.0,1805.0,7.0
40192.34,3.0,27606.43,1852.0,5011.0,13.0
38655.51,3.0,24410.57,1240.0,3417.0,12.0
22773.04,3.0,23681.08,1414.0,3712.0,10.0
43493.59,4.0,34859.01,2924.0,4490.0,8.0
33410.76,6.0,29795.15,1350.0,3321.0,16.0
29013.7,3.0,29488.44,836.0,2653.0,12.0
23072.56,4.0,29850.21,901.0,2552.0,9.0
25745.24,4.0,29153.82,1566.0,2972.0,9.0
40774.27,3.0,32091.99,1673.0,3574.0,11.0
33497.54,2.0,29583.81,1668.0,3748.0,10.0
31824.68,4.0,27336.43,1693.0,3224.0,15.0
37615.92,3.0,32262.37,2059.0,2616.0,13.0
24471.04,3.0,32985.35,1887.0,1927.0,8.0
57946.29,3.0,35307.18,2010.0,2507.0,17.0
35574.49,4.0,35540.6,1156.0,2843.0,12.0
25451.94,4.0,26915.83,1467.0,3856.0,11.0
33483.81,2.0,29172.53,1604.0,2003.0,11.0
42194.96,3.0,27327.52,1811.0,3781.0,11.0
54866.6,3.0,33591.91,1904.0,3741.0,14.0
42761.34,3.0,31444.09,1697.0,3947.0,10.0
32274.64,4.0,30535.26,2381.0,3578.0,12.0
59909.1,3.0,30215.9,1532.0,3702.0,16.0
42946.68,4.0,31553.73,2036.0,4667.0,9.0
52196.35,3.0,36584.89,2125.0,2843.0,13.0
45892.31,4.0,35698.78,829.0,1993.0,12.0
43026.99,4.0,38553.64,1580.0,4248.0,10.0
47201.37,3.0,33505.75,1452.0,3965.0,13.0
50298.77,3.0,32477.61,1451.0,5184.0,12.0
41996.1,4.0,30250.51,1280.0,5188.0,10.0
33772.24,4.0,26707.43,1205.0,3654.0,13.0
25322.02,4.0,29933.23,1147.0,3689.0,7.0
40243.88,2.0,29924.15,1326.0,3152.0,11.0
38840.98,3.0,30295.42,1771.0,3173.0,13.0
42035.29,4.0,33233.14,1031.0,2997.0,12.0
24739.87,4.0,30283.7,754.0,1946.0,12.0
27791.59,3.0,32933.53,0.0,4030.0,7.0
23197.28,4.0,30446.4,1981.0,1872.0,11.0
22763.7,3.0,24655.53,1855.0,5893.0,7.0
32520.6,3.0,34250.31,1098.0,2974.0,8.0
48370.64,3.0,27914.22,1796.0,3899.0,11.0
27856.08,4.0,28445.21,1623.0,1018.0,13.0
35582.36,3.0,28822.46,1609.0,2357.0,13.0
33629.74,2.0,30117.65,1534.0,3431.0,12.0
42146.15,4.0,30678.69,1853.0,3493.0,15.0
45259.21,4.0,30319.53,1490.0,4203.0,9.0
54522.25,3.0,36166.95,2011.0,4581.0,11.0
