Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
No Churn,0,14210,17950,30297,24,-0.3341935,Gold,Billing Problem,6.2,0,0,8,1,0
Churn,1,14407,0,0,28,0,Silver,Moving,1,0,0,17,1,0
Churn,1,12712,204.666667,10393.6667,23,0,Gold,Billing Problem,17.6,0,0,23,1,0
No Churn,0,13807,15490.3333,41256.3333,39,0.14898627,Silver,Billing Problem,0,0,0,17,1,0
No Churn,0,3805,5075,12333.3333,23,-0.6860465,Gold,Billing Problem,3.8,0,0,10,1,0
Churn,1,2847,94.6666667,4526,39,-1,Gold,Billing Problem,11.2,0,0,19,1,0
No Churn,0,10238,5147.66667,17223,36,-0.6227545,Gold,Moving,3.7,0,0,1,1,0
Churn,1,21866,2015,59409,39,2.07211538,Silver,Billing Problem,9.9,0,0,2,1,0
No Churn,0,8082,2667,7807,39,-0.1165644,Gold,Billing Problem,4,0,0,15,1,0
Churn,1,3347,0,0,39,0,Gold,Billing Problem,25,0,0,17,1,0
Churn,1,14788,4982.33333,35246.3333,32,0.03519682,Silver,Billing Problem,10.5,0,0,5,1,0
Churn,1,47991,65506.6667,230288.333,39,-0.4637318,Silver,Billing Problem,17,0,0,10,1,0
Churn,1,4616,4244,4568.33333,32,-0.0714286,Gold,Billing Problem,9.5,0,0,3,1,0
No Churn,0,22061,12681.6667,54385,39,-0.1296607,Silver,Billing Problem,7.7,0,0,10,1,0
No Churn,0,34888,66,1318.66667,39,-1,Gold,Check Account,0,0,0,39,1,0
No Churn,0,4034,73,3962.33333,33,1.625,Gold,Moving,2.5,0,0,21,1,0
No Churn,0,14407,4850.66667,23431.6667,28,2.39933063,Silver,Call Quality,15.5,0,0,5,1,0
Churn,1,39952,10238.3333,91317.6667,39,-0.3111528,Silver,Billing Problem,2,0,0,39,1,0
Churn,1,3347,12041.6667,63562.6667,20,-0.9855538,Gold,Call Quality,12,0,0,4,1,0
Churn,1,42419,15060,36561,25,-0.3307455,Silver,Billing Problem,17,0,0,12,1,0
No Churn,0,14712,11203,111114.667,39,0.67660733,Silver,Billing Problem,15.3,0,0,5,1,0
No Churn,0,15254,4203.66667,24640.6667,30,0.13745102,Silver,Billing Problem,6.2,0,0,4,1,0
No Churn,0,19137,5500.66667,40172.6667,39,0.01601859,Silver,Billing Problem,8.5,0,0,11,1,0
Churn,1,48781,17548.6667,153797.333,39,-1,Silver,Call Quality,26.4,0,0,11,1,0
No Churn,0,43910,20031.6667,54722.3333,39,0.12055641,Silver,Moving,9,0,0,4,1,0
Churn,1,21548,0,0,39,0,Silver,Call Quality,24.5,0,0,17,1,0
No Churn,0,14799,12860,45903.3333,19,-0.2162162,Silver,Moving,6.3,0,0,12,1,0
No Churn,0,31214,2846,109962,39,-0.1405833,Silver,Moving,0,0,8,5,1,0
No Churn,0,14584,5850.33333,15390.6667,39,-0.2480418,Silver,Moving,0,0,0,3,1,0
Churn,1,12712,2208.33333,11686.6667,39,0.07565789,Silver,Billing Problem,33.2,0,0,39,1,0
No Churn,0,3347,31519,155039.667,39,-0.1375337,Silver,Billing Problem,7,0,0,8,1,0
No Churn,0,6865,544,915.666667,39,1.13461538,Gold,Billing Problem,6.4,0,0,1,1,0
No Churn,0,49701,7999.33333,45746.6667,26,0.208,Silver,Billing Problem,9.2,0,0,6,1,0
No Churn,0,7011,503,3294.66667,39,-0.15625,Gold,Check Account,0,0,0,8,1,0
Churn,1,6706,0,1238,39,-1,Gold,Billing Problem,7.2,0,0,39,1,0
No Churn,0,4237,10257,36871.3333,27,0.26463202,Silver,Billing Problem,7,0,0,6,1,0
No Churn,0,21110,23464,45110.6667,39,-0.3184358,Silver,Billing Problem,31.5,0,0,8,1,0
No Churn,0,21363,8528.33333,101347,39,-0.1850181,Silver,Moving,2,0,0,3,1,0
Churn,1,29257,7795.33333,26347.6667,39,-0.9904459,Silver,Call Quality,20,0,0,22,1,0
Churn,1,7186,111.666667,2187,31,-0.625,Gold,Call Quality,13.6,0,0,21,1,0
Churn,1,25243,9679.33333,40321,39,-0.363109,Silver,Billing Problem,11,0,0,7,1,0
No Churn,0,28868,15186,61771.3333,39,-0.3313407,Silver,Billing Problem,4.2,0,0,10,1,0
No Churn,0,26122,5567.66667,26881.6667,39,0.16587629,Silver,Billing Problem,13.2,0,0,10,1,0
No Churn,0,12288,3131,16472.6667,39,-0.2307762,Silver,Moving,7,0,0,38,1,0
