Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Channel
6623.613537041032,5513.093239952088,6019.057354491177,5669.568007937327,5898.660606532605,5179.234946896209,2
5642.5424970263875,5829.866565048667,3960.3399428581415,4270.020548401527,3498.818262224715,4327.423268052546,2
5292.078174721068,6634.370555976225,4444.335137896218,4888.286020612349,3265.391352448705,4887.560190152266,2
5595.227927857404,4754.860698109379,2977.8565114547555,3462.490957155318,3609.264559392959,4268.641412739329,0
5126.693267244862,6009.649079237305,3811.569943311535,4744.11597619646,3829.5168314293123,5097.491872356951,2
4767.550699202349,5427.531302210034,3217.4703201344264,5625.606439901296,5995.477596253766,5804.958800637584,1
6063.400104235281,6081.378675069371,4854.57141119949,5579.792832752743,5421.80197919451,4367.070831045341,2
3819.2160530126407,6616.78303579312,1598.7373222258789,5814.376185195077,5374.013434516742,4653.407226428026,1
6267.252475062833,3429.683574657554,3546.964988422629,3429.63458922739,5023.256121534521,4883.732212658146,0
6311.53643844584,6272.0389840042535,5544.739199258611,5750.068728154406,5347.326044967738,4496.851265927127,3
4693.8846076302825,6381.8511935557835,3149.5267586199943,5769.713052193264,5334.406172468451,4914.840720220238,1
6435.902981012774,4237.1127130314635,5174.608174922584,4529.2604616131985,5405.7654200457255,5765.450207194389,3
3752.513808897511,7078.389784598854,3186.457524064583,5916.553559827102,4130.345035731703,6260.590704122489,2
6061.0054596214795,5671.212861642743,4229.70206048824,5085.738836617623,5293.255498740361,3992.6850159268374,1
6611.398942116402,5254.80047999372,5538.257625995362,5700.518110179756,6469.60834568361,4887.574782450172,2
3822.109397840688,6963.598258187002,3106.6669588132463,5832.109627023913,4193.139988834466,6126.285725296315,2
5231.833096286954,6439.3155617814955,4344.504269358952,4902.925946545974,3482.9411872033897,5094.939221608477,2
4850.881186142027,4483.304814982817,3017.003594666736,3083.6374119035095,2541.6757695269407,6145.900940943187,0
6816.060689839043,5614.7133109558545,5743.696446069977,6268.35741365064,7193.848001485487,4379.626453522244,2
5696.194554226649,4131.648405578375,3423.296680033067,2586.4511233620096,2455.7954717061225,5162.2014482817385,0
6009.192823558211,5087.764762724451,4680.8368777626665,5070.688443327736,5504.753246816236,5246.308264671644,0
5292.234801875647,5782.967527820622,3443.4748299719254,6112.937080367521,6836.884473381055,4639.785263068361,0
7065.539865145731,4508.44796249226,4991.985086885153,3226.0685471936818,3465.3595933776105,3823.139098918318,2
5321.9936679838975,5654.856724367688,5481.98365816859,5002.377382476069,3801.536709356337,7095.374729798123,3
5371.254627916124,5667.16000383902,6357.5463938094335,5015.177234819357,3337.785717024841,8042.944378983908,3
6230.376624722583,5622.0712347568015,6002.907178130573,6185.237904414267,6394.576565497213,5925.504383795578,1
6988.429236731926,4005.6811412469865,5335.743794233253,3410.320611468682,3998.2543265482177,4933.559677775434,2
6164.34295244876,4662.537204817571,6016.416956357965,3894.912919259671,3151.9402597667263,6879.790977262222,3
4832.8062396793175,6215.714504819658,4108.885242836817,5194.725701253251,4016.872728061215,5908.948004069787,2
6953.039599393969,6960.9773903420455,7264.904079461809,6461.73481502265,5492.1316440521305,4575.8004478495795,2
6376.700543604109,3895.7616943991516,5413.766610212959,3879.5083006771683,4378.03180882236,6478.8276118506765,1
5986.987387132948,4766.113297184333,4375.499267268148,4799.157118326794,5484.464760774927,5229.618594491497,2
5566.449603731688,5909.185524775222,4272.5727335214115,5673.586100587891,5676.818102055938,4899.959461106968,1
4468.578680182132,6274.094592215435,3889.2478334234115,5735.500926807567,4749.36310451779,6400.044980854818,3
5923.333302542729,5000.041735310033,5531.859842908006,5762.226146499319,6245.190160800171,6607.982530822853,1
5177.973088098613,6505.315207606962,4202.326823004602,4890.847684980164,3438.106429255611,4968.241046325811,2
6228.095583063382,6149.144090451265,6380.7579741850195,5012.250143414846,3585.267159819843,5756.555615714568,2
6025.211317241148,6051.664678029351,5021.046506910806,4366.787786537432,3158.517602594138,4583.6934463932275,2
6076.083842228599,5385.37869250757,4561.300657770567,5399.69662911828,5938.056148633411,4680.94328732124,1
5568.735318753137,5529.54254595439,3419.8692292140177,5206.643611497402,5706.196389213993,4209.7607025748885,1
5255.94711698519,4417.938027825454,3208.709767068339,3015.6500216196464,2708.7543454552733,5579.083350255819,0
6148.161874060133,5051.31523125912,4417.848943786074,5304.245070821787,6226.750473311222,4687.316676382283,2
6515.986745128686,4888.892306888261,4711.946130408795,3696.8480089138357,3650.8722254061213,4299.934050026082,2
5335.196449317515,5278.901988108858,4176.761322537467,4717.335021311968,4427.525357790351,5842.944732461804,0
6687.734764561758,4794.793237929578,5005.508547448131,4433.134333805337,5021.908090840452,4446.724906957374,1
6038.6279743126015,5332.970766490753,5334.06236283862,4463.626050657353,3832.5159284240094,5678.070837697677,2
6629.653314673825,4696.7233153748375,5452.2397317176,4734.3688150286725,5338.460516691326,5237.410764435208,0
6887.29742637639,3876.573770924534,5171.88206943886,3308.4160821158766,3949.7126915208005,5073.29267924313,0
6629.29688321649,4324.497419811968,5990.852860101019,4209.453985087924,4434.896067307245,6231.1101424547705,3
6369.58180924222,6238.982403207503,8330.101901889486,5588.897225836967,3497.3636195519957,7778.670847143866,3
7776.3614608358175,4926.080487035931,6078.300373465981,5148.211710772398,6453.325912536065,3358.9740230757407,1
3895.0411799589565,7716.771033529592,4247.4828741361325,7730.268600735628,6255.95642625316,6739.449040805392,3
6522.190994235097,6214.995917000049,6279.736010582477,5706.881892644937,5067.26038414711,4996.933586132405,2
6203.364223091686,5220.786192186831,4428.630741660166,5479.124772246241,6419.134478278615,4423.8065785141625,2
4283.767058793817,6421.722282883502,4755.265314593869,5767.589767038985,4002.1411672509957,7696.820258653783,3
4133.337059303349,5546.639794918346,3361.683743947907,5899.002017364961,5753.506689176382,7228.596184957325,3
6930.902370728816,7084.60976660169,6833.270656331998,6785.922399079968,6189.555012345644,3997.986221892692,2
5080.523716437637,6654.655161546691,4616.301866573707,5183.409578378026,3493.1890185787192,5549.166169971329,2
6321.469952229246,3272.3511181449185,3045.899683232407,3802.6549889409284,6176.497258656909,4350.411429399174,0
6865.034735730102,3754.687574982893,6401.464537933006,4131.63873360237,4786.942054759661,6805.215771642622,3
4296.218812208071,6033.224315760973,4090.220831767376,5942.916222739802,5081.899887654914,7273.55257376567,3
5364.489090443374,5381.630380901885,3092.2079560387187,5113.562369423272,5701.106379048573,4389.615418724936,1
6401.002047519483,5184.35762265212,5472.591196626894,5255.89468093824,5605.842791714964,5291.459058176191,1
6825.683860018343,3746.918270877044,5435.586549219632,3036.145573075621,3379.1936502979597,5635.431466983892,0
5434.488622951714,4382.843002721578,4921.25288523678,3717.7122602726695,3132.3207083316793,7372.485656205714,0
6222.558998762897,4676.723048526859,4759.417599994227,4665.3938453911815,5301.353502782022,5275.966959402798,0
8885.389742991014,1453.7330865162703,6058.308660595506,936.6797674494537,3153.1593299392216,4189.667217476627,1
4893.961688629656,6933.596257719675,6683.988011208508,6368.253071231562,3966.189263322207,8267.874030909144,3
5889.248093747846,5034.708991998775,4806.866078970892,4656.192283917666,4641.182424302637,5675.455822339895,0
6503.0512775671805,4992.9230447076425,5984.145068652326,5040.984430634227,5186.680047083491,5874.575486286222,2
6677.936947979755,5776.174004399191,4855.172631331985,5072.698160233741,5320.262444771808,3332.7598917112637,1
4593.0684899369,6483.0231460502855,4399.451593547404,6647.174744462624,5980.915578011955,6614.76482431463,3
5205.4111806175515,6186.616678339485,4697.222296671499,5105.465045667102,3850.861475133632,5854.276159169764,2
6477.150049628993,4839.4462156121,5160.731219820101,5438.264415596907,6502.389582580203,5117.914240861879,2
7198.948418489332,3376.7699195769674,5290.488202341433,2998.3927044095203,4058.244628676897,5041.027867213286,1
6210.917322722413,4534.188813190226,3995.6297353863256,3877.502101565591,4472.2074964378935,4455.264067972251,0
6565.65112310384,5510.467482210465,6876.871945434234,6543.610217112218,6903.729757049603,6417.476180662169,1
5939.538794557137,4063.9756700175053,2954.3181370619013,2561.6032975858493,2955.815471801594,4142.243388370764,0
